АВТООТВЕТЧИК	устройство в телефон воспроизводить звуковой запись стандартный ответ что абонент не мочь принимать звонок и звуковой запись предложение оставлять свой сообщение в этот устройство
АВТОР	человек который написать заканчивать текст
АВТОР	человек который создавать художественный научный или информационный объект
АВТОРИТЕТ	свойство человек группа человек или организация состоять в то что человек считать нужный учитывать мнение об потому что хорошо знать область деятельность
АВТОРИТЕТ	человек иметь авторитет в сфера
АВТОРИТЕТ	человек иметь авторитет в уголовный мир
АВТОРИТЕТНЫЙ	человек иметь авторитет среди человек в область деятельность
АВТОРИТЕТНЫЙ	принадлежать авторитетный лицо
АВТОРИТЕТНЫЙ	свойственный авторитетный человек
АГЕНТ	служащий посреднический организация предлагать человек от имя информация или услуга в сфера
АГЕНТ	специалист нанимать человек или организация для то чтобы он представлять интерес в сфера деятельность или заниматься деятельность в интерес
АГЕНТ	служащий страна или организация находиться или работать в страна или организация и добывать секретный информация об в сфера для передача ее в
АГЕНТ	официальный лицо или лицо авторитетный в данный общество или страна постоянно делать что-то для реализация цель другой лицо или иностранный государство
АГЕНТСТВО	государственный организация обычно подчинять более крупный организация заниматься дело в сфера
АГЕНТСТВО	посреднический организация предлагать человек информация и услуга в сфера
АГИТИРОВАТЬ	лицо сообщать многий человек какой общественный действие полезно или необходимо предпринимать в складываться ситуация и призывать поддерживать или совершать они
АГИТИРОВАТЬ	человек настойчиво говорить человек или человек что должный поддерживать или сделать потому что хороший для или какой-то третий лицо
АГОНИЯ	последний мучительный фаза жизнь существо наступать непосредственно перед смерть
АГОНИЯ	последний фаза существование объект находиться в очень плохой и постоянно ухудшаться состояние
АГРАРНЫЙ	связывать с использование земля для производство продукт питание или сырье для промышленность
АГРАРНЫЙ	характеризоваться преобладание аграрный производство в экономика
АГРАРНЫЙ	представлять или защищать интерес человек заниматься аграрный производство
АГРЕССИВНЫЙ	такой который нападать на другой человек
АГРЕССИВНЫЙ	такой в который проявляться желание напасть на кто л
АГРЕССИВНЫЙ	такой который сочетаться с желание нападать на кто л
АГРЕССИВНЫЙ	такой который нападать на другой страна
АГРЕССИВНЫЙ	захватнический
АГРЕССИВНЫЙ	напористый
АГРЕССИВНЫЙ	такой в который проявляться напор
АГРЕССИВНЫЙ	резкий
АГРЕССИВНЫЙ	едкий
АГРЕССИВНЫЙ	такой для который характерный агрессия
АГРЕССИВНЫЙ	такой в который проявляться агрессия
АГРЕССИВНЫЙ	состоять в желание нападать или начинать конфликт
АГРЕССИВНЫЙ	такой который сочетаться с агрессия
АГРЕССИВНЫЙ	такой который часто совершать или готовый совершать агрессия
АГРЕССИВНЫЙ	состоять в то что государство совершать или собираться совершать агрессия
АГРЕССИВНЫЙ	такой который добиваться свой цель преодолевать сопротивление другой человек и навязывать они свой воля
АГРЕССИВНЫЙ	такой в который проявляться стремление какой л человек добиваться свой цель преодолевать сопротивление другой человек и навязывать они свой воля
АГРЕССИВНЫЙ	такой который оказывать интенсивный и резкий воздействие на орган зрение и поэтому мочь быть неприятный человек
АГРЕССИВНЫЙ	такой который оказывать интенсивный воздействие на другой вещество или материал и способный они разрушать
АГРЕССИЯ	вооруженный нападение государство на государство с цель захватить территория или часть территория государство или подчинять он себя который говорить оценивать отрицательно
АГРЕССИЯ	проявляться в поведение человек стремление наносить ущерб человек который он не нравиться а также реализация такой намерение в грубый высказывание или грубый физический действие по отношение к
АГРОНОМ	человек профессия который являться выращивание растение использовать для производство корм продукт питание или сырье для промышленность
АД	место наказание душа нераскаявшийся грешник после их смерть
АД	предельно тяжелый или мучительный жизнь вызывать свойство ситуация или явление
АД	сильный шум который трудно или невозможно терпеть вызывать явление особенно в соединение с сильный жар как бы ад по коннотация оглушительный шум и огонь
АДВОКАТ	человек с высокий юридический образование постоянно оказывать человек или организация юридический помощь или защищать их интерес в суд
АДВОКАТ	человек с высокий юридический образование оказывать человек и организация юридический помощь в область
АДВОКАТ	человек защищать или готовый защищать человек к который другой человек по его мнение относиться несправедливо
АДВОКАТ	адвокат заведомый преступник
АДВОКАТ	человек защищать плохой человек или плохой дело
АДЕКВАТНЫЙ	объект положение вещь или действие соответствующий по признак объект действие или положение вещь
АДЕКВАТНЫЙ	такой поведение который соответствовать социальный или психический норма
АДМИНИСТРАТИВНЫЙ	связывать с управление большой организация или с ее устройство
АДМИНИСТРАТИВНЫЙ	предназначать для орган управление
АДМИНИСТРАТИВНЫЙ	такой какой нужный для работа администратор
АДМИНИСТРАТИВНЫЙ	относиться к такой нарушение принимать в общество норма и порядок решение по который приниматься исполнительный власть без участие судебный власть
АДМИНИСТРАТИВНЫЙ	неумеренный страсть постоянно менять что-то в организация работа другой человек приводить к ее дезорганизация
АДМИНИСТРАЦИЯ	официальный лицо управляющий учреждение или предприятие
АДМИНИСТРАЦИЯ	совокупность государственный орган управлять часть территория входить в состав данный государство
АДМИНИСТРАЦИЯ	правительство страна
АДМИНИСТРАЦИЯ	государственный орган осуществлять информационный поддержка деятельность президент страна и контролировать исполнение его поручение и решение
АДМИРАЛ	воинский звание член высокий командный состав военно-морской флот или человек иметь такой звание
АДРЕС	сообщать в определенный форма информация о место где жить человек или находиться организация
АДРЕС	уникальный набор знак присваивать устройство или объект в электронный сеть для операция с оно
АДРЕС	официальный письменный поздравление от лицо обращать к человек написать в связь с памятный событие в жизнь этот человек и содержать перечисление тот хороший что он сделать
АДРЕС	по повод кто л
АДРЕС	обращать не к тот человек к который по мнение говорящий должный быть обращать
АДРЕС	адрес отправитель
АДРЕС	приходить или приезжать не в тот место который быть нужный субъект
АДРЕС	обращаться не к тот человек который быть нужный субъект
АДРЕС	плохо отзываться о кто л или посмеяться над кто л
АДРЕС	обругивать кто л или что л нецензурный слово
АДСКИЙ	жить или находиться в ад
АДСКИЙ	похожий на такой какой бывать в ад
АДСКИЙ	такой в который воплощаться тайный желание субъект причинять зло другой человек или человек
АДСКИЙ	очень большой степень
АЗАРТ	очень большой степень возбуждение человек вызывать крайний увлеченность тем который он в данный момент делать и который доставлять он удовольствие
АЗБУКА	совокупность буква использовать в письменность язык располагать в определенный порядок
АЗБУКА	простой сведение относиться к сфера деятельность владение который необходимый для то чтобы успешно она заниматься
АЗБУКА	таблица буква или совокупность карточка кубик или иной предмет с изображать на они буква который служить для обучение грамота
АЗБУКА	телеграфный код в который каждый буква или цифра представлять особый комбинация короткий и длинный звуковой сигнал точка и тир
АЗБУКА	совокупность условный знак составлять из различный положение палец с помощь который общаться глухонемой
АЗБУКА	предназначать для чтение текст слепой система изображение буква и цифра с помощь особый выпуклый значок воспринимать на ощупь
АЗБУКА	совокупность нотный знак служащий для изображение музыкальный звук
АЗБУКА	продовольственный магазин торговать продукт более высокий качество чем обычный магазин
АЗБУКА	сеть такой магазин
АЗИАТСКИЙ	свойственный житель или страна азия
АЗИАТСКИЙ	отличаться грубость жестокость или коварство
АИСТ	дикий птица в два три раз много курица с длинный нога длинный шея и длинный клюв с серый или белый оперение и черный конец крыло всеядный обитать в место с умерять климат жить близко от человеческий жилье в сельский местность и считаться залог благополучие дом около который она жить
АКАДЕМИК	высокий звание член академия наука или человек иметь этот звание
АКАДЕМИК	звание человек являться член академия или человек иметь этот звание
АКАДЕМИК	человек обладать большой знание в какой л область или вести себя так как будто он они обладать
АКАДЕМИЯ	высокий государственный организация страна предназначать для то чтобы способствовать развитие научный или художественный деятельность в сфера и состоять из избирать выдающийся представитель сфера
АКАДЕМИЯ	учреждение предназначать для получение высокий образование или для повышение квалификация человек
АККОМПАНИРОВАТЬ	человек играть на музыкальный инструмент одновременно с человек который являться основной исполнитель какой-то музыкальный произведение создавать то самый нужный фон для его исполнение
АККОРД	несколько звук разный высота одновременно извлекать человек на музыкальный инструмент который восприниматься как единый целое
АККОРД	событие который рассматриваться как естественный или логический завершение важный ситуация
АККОРД	набор струна для смычковый или щипковый музыкальный инструмент
АККОРДЕОН	музыкальный инструмент тип гармонь несколько много она по размер у который клавиатура для правый рука подобный фортепьянный и который обладать более богатый и сложный звучание по сравнение с гармонь
АККУРАТНЫЙ	такой который содержать свой вещь и жилище в порядок и чистота
АККУРАТНЫЙ	такой внешний вид который отличаться порядок и чистота
АККУРАТНЫЙ	небольшой
АККУРАТНЫЙ	такой который делать весь тщательно и точно
АККУРАТНЫЙ	педантичный и пунктуальный
АККУРАТНЫЙ	осторожный
АККУРАТНЫЙ	такой который постоянно заботиться о то чтобы его вещь жилище и внешний вид находиться в порядок и быть чистый
АККУРАТНЫЙ	такой внешний вид который находиться в порядок и отличаться чистота так что на он приятно смотреть о человек
АККУРАТНЫЙ	такой который иметь небольшой размер отличаться соразмерность часть или иметь четкий контур вследствие что на он приятно смотреть
АККУРАТНЫЙ	такой который совершать физический действие направлять на создание какой л объект выполнять этот действие тщательно и точно так что на продукт его деятельность приятно смотреть
АККУРАТНЫЙ	такой который делать весь точно и тщательно или точно в назначать срок
АККУРАТНЫЙ	такой который соблюдать осторожность в свой действие с объект или в свой поведение в ситуация
АКТ	однократный выполнение действие
АКТ	однократный проявление состояние
АКТ	постановление орган власть
АКТ	официальный отчет о событие
АКТ	часть драматический произведение
АКТ	фотография обнаженный женский тело
АКТ	однократный совершение действие человек
АКТ	однократный действие в который проявляться какой-то свойство или состояние человек
АКТ	законодательный документ издавать официальный орган и устанавливать правило деятельность в область
АКТ	официальный документ составлять лицо содержать информация или информация о событие
АКТ	один из самый крупный часть драматический произведение или опера
АКТ	фотография обнаженный тело обычно женский
АКТЁР	человек профессия который являться исполнение роль в спектакль или в фильм
АКТЁР	тот кто свой манера поведение пытаться создавать ложный представление о себя или о ситуация в который оказываться он и другой ее участник или наблюдатель
АКТИВНЫЙ	энергично делать что л
АКТИВНЫЙ	проявляться в действие
АКТИВНЫЙ	состоять из интенсивный действие
АКТИВНЫЙ	интенсивно протекать
АКТИВНЫЙ	способный к интенсивный взаимодействие
АКТИВНЫЙ	с превышение доходный часть бюджет
АКТИВНЫЙ	постоянно использовать в общение
АКТИВНЫЙ	выполнять или использовать
АКТИВНЫЙ	такой который весь время и с большой энергия что-то делать особенно для успех деятельность или деятельность в область
АКТИВНЫЙ	такой который проявляться в действие
АКТИВНЫЙ	такой который включать в себя много действие или более интенсивный действие чем обычно
АКТИВНЫЙ	такой в который протекать интенсивный процесс или который протекать интенсивно
АКТИВНЫЙ	такой который способный к интенсивный взаимодействие с что л
АКТИВНЫЙ	такой в который доходный часть превышать расходный и поэтому оценивать положительно
АКТИВНЫЙ	такой который постоянно использоваться человек при общение с другой человек
АКТИВНЫЙ	выполнять или использовать в данный момент
АКУЛА	хищный морской рыба некоторый вид который превосходить по размер весь другой рыба с удлиненный тело мощный хвост и плавник и большой рот на нижний сторона голова обычно с несколько ряд зуб на верхний и нижний челюсть
АКУЛА	человек готовый нарушать любой нравственный норма ради нажива как бы акула по коннотация жадность хищность и безжалостность
АКУШЕРКА	женщина профессия который состоять в то чтобы помогать женщина при беременность роды и в период непосредственно после роды
АКЦЕНТ	особый манера человек произносить слово язык типичный для носитель язык или диалект
АКЦЕНТ	выделение тот элемент в действие или деятельность который человек считать главный в или к который хотеть привлекать внимание другой человек
АКЦЕНТ	такой произнесение слог в слово обычно в соответствие с правило данный язык что он восприниматься на слух как самый сильный в или знак над гласный буква этот слог
АКЦЕНТ	выделение музыкальный звук или аккорд с помощь усиление его звучание
АКЦИОНЕРНЫЙ	принадлежащий владелец акция
АКЦИОНЕРНЫЙ	такой капитал который принадлежать владелец выпускать они акция причем каждый владелец участвовать в прибыль и убыток в соответствие с общий стоимость приобретать они акция
АКЦИЯ1	выпускать компания ценный бумага с номинальный стоимость удостоверять вложение ее владелец определять сумма деньги в и давать право на участие в дело этот компания и на получение часть прибывать от ее деятельность
АКЦИЯ1	акция выпускать газпром
АКЦИЯ1	акция приобретать газпром
АКЦИЯ1	увеличиваться значение или влияние кто что л
АКЦИЯ1	уменьшаться значение или влияние кто что л
АКЦИЯ1	быть причина то что чей-то значение или влияние увеличиваться
АКЦИЯ1	быть причина то что чей-то значение или влияние уменьшаться
АКЦИЯ2	масштабный действие предпринимать человек или человек в область для достижение цель
АКЦИЯ2	рекламный мероприятие проводить компания или фирма для человек в течение время иметь цель реализация товар или услуга этот фирма или создание рынок для они
АЛГОРИТМ	формальный описание последовательность действие складываться из проверка наличие у обрабатывать объект определенный свойство и выполнение определенный операция при наличие этот свойство который приводить к решение задача
АЛГОРИТМ	совокупность извлекать из опыт человек правило выполнение который считаться необходимый для успех действие или деятельность
АЛИБИ	иметься у человек возможность доказывать что он не мочь совершать преступление в который он подозревать потому что в момент его совершение находиться в другой место
АЛИМЕНТЫ	денежный средство на содержание малолетний или нетрудоспособный человек выплачивать по закон его отдельно жить родственник или человек виновный в то что становиться нетрудоспособный
