АБОРДАЖ	атаковать морское судно, подойдя к нему вплотную и сцепившись крючьями, с последующим рукопашным боем
АБОРДАЖ	напористо действуя, добиваться своих целей
АБРИКОС	Южный фрукт размером с кулачок младенца, растущий на дереве, овальный, желтого, оранжевого или светло-розового цвета, мягкий, кисло-сладкий, с большой гладкой коричневой косточкой внутри
АБРИКОС	Дерево, на котором растут абрикосы
АБРИКОСОВЫЙ	cделанный из абрикосов или с добавлением абрикосов
АБРИКОСОВЫЙ	Похожий на цвет абрикоса
АБСОЛЮТНЫЙ	А1, рассматриваемый в его числовом выражении в данный момент вне связи с чем-л. другим
АБСОЛЮТНЫЙ	Такой, который в числовом выражении больше любого другого в той же совокупности объектов или явлений
АБСОЛЮТНЫЙ	меньше любого другого подобного объекта или явления в данной совокупности объектов или явлений
АБСОЛЮТНЫЙ	Такой, который в большей мере соответствует цели, чем любой другой из той же совокупности
АБСОЛЮТНЫЙ	Имеющий очень большую или самую большую степень
АБСТРАКТНЫЙ	Основанный на выделении наиболее общих свойств предметов или явлений
АБСТРАКТНЫЙ	Не имеющий конкретной цели или не связанный с действительностью
АБСТРАКТНЫЙ	А1, представляемый в виде образа, не имеющего свойств какого-л. реального А1
АБСТРАКТНЫЙ	Основанный на отказе от изображения объектов реального мира в таких формах и цвете, в каких они представляются обычному человеку при их непосредственном физическом восприятии
АБСУРД	Умозаключение, высказывание или положение вещей, в которых имеет место полное нарушение обычной логики или причинно-следственных связей и которые вызывают у говорящего протест
АБСУРД	Направление в литературе, в котором любые действия людей и ситуации, в которые они попадают, изображаются как абсурд
АБСУРД	нелепое, противоречащее здравому смыслу положение дел
АВАНГАРД	Часть А1 войск А2, которая перемещается впереди А2 с целью не допустить внезапного нападения противника на А2 или первой вступить с ним в бой
АВАНГАРД	Наиболее активная часть социальной группы А2, которую говорящий оценивает положительно
АВАНГАРД	Направления в искусстве XX века, которые ищут и используют новые художественные формы и обосновывают свой отказ от существующих художественных форм
АВАНС	Часть А4 стоимости работы А3, которую человек А2 берется сделать для лица А1, выдаваемая этим лицом человеку А2 заранее, обычно с условием, что А2 сделает А3 к определенному сроку
АВАНС	Выплачиваемая человеком А1 лицу А2 часть А4 стоимости товара или услуги А3, которые А1 покупает у А2, обычно с условием, что А1 полностью выплатит стоимость этого товара или услуги к определенному сроку
АВАНС	Действие или высказывание лица А1, имевшее место до того, как человек А2 сделал А3, желательное для А1, которое имеет целью побудить А2 в будущем хорошо сделать А3
АВАНС	заранее, вперед
АВАНС	стараться расположить кого-л. заранее в свою пользу
АВАНС	знаками своего расположения поощрять мужчину к ухаживанию за собой
АВАНТЮРА	Плохо подготовленные действия А2 человека А1 или его действия с объектом А2, рассчитанные на случайный успех, которые говорящий оценивает отрицательно и которые, по его мнению, должны закончиться неудачей
АВАРИЯ	Неожиданное прекращение функционирования или разрушение технического объекта А1 или какой-то его части в результате события или явления А2, такое, что оно может причинить ущерб другим объектам или людям
АВГУСТ	Восьмой месяц календарного года
АВИАЦИЯ	Организованная совокупность летательных аппаратов тяжелее воздуха, принадлежащих стране или лицу А1 и используемых для цели А2
АВОСЬ	Говорящий выражает слабую надежду на то, что наступит желательное для него положение дел А1, причем это произойдет не в результате его собственных усилий, а в результате действия каких-то неизвестных ему сил
АВОСЬ	Случайный успех или расчет на случайную удачу, без намерения самому что-то предпринять для их достижения
АВОСЬ	в расчете на случайную удачу
АВТОБУС	Наземное транспортное средство с двигателем, работающим на топливе, имеющее внутри большое пространство с рядами сидений вдоль стенок для людей А1 и проходом между сиденьями
АВТОМАТ	Не управляемое человеком устройство, способное выполнять действие или последовательность действий А1, которые обычно выполняются человеком
АВТОМАТ	Телефон, установленный в будке в общественном месте, автоматически принимающий плату за звонок
АВТОМАТ	Ручное автоматическое оружие с прикладом и длинным стволом, стреляющее с большой скоростью
АВТОМОБИЛЬ	Наземное транспортное средство с двигателем, работающим на топливе, предназначенное для перевозки людей или грузов
АВТОНОМИЯ	Право территории А1, находящейся внутри какой-то страны А3 или являющейся ее частью, иметь собственное правительство или самостоятельно управлять деятельностью в сфере А2, которое дано территории А1 высшей властью этой страны
АВТОНОМИЯ	Территория А1 внутри страны А2, имеющая автономию
АВТОНОМИЯ	Право большого учреждения А1, функционирующего в государстве А2 или подчиненного организации А2, самостоятельно принимать решения, относящиеся к специальной сфере его деятельности
АВТОНОМИЯ	Не зависящее от воздействия фактора А2 существование или функционирование явления А1, причем А1 связано с А2 так, что А2 мог бы влиять на А1
АВТОНОМНЫЙ	Имеющий автономию
АВТОНОМНЫЙ	Такой, функционирование которого не зависит ни от каких внешних по отношению к нему факторов
АВТОНОМНЫЙ	Такой, который, являясь частью более сложного явления, обладает такими специфическими свойствами или функциями, что его можно признать отдельным явлением
АВТОНОМНЫЙ	Такой А1, который имеет в себе самом все, что нужно для его нормального существования или функционирования
АВТООТВЕТЧИК	Устройство в телефоне А1, воспроизводящее звуковую запись стандартного ответа, что абонент не может принять звонок, и звуковую запись предложения оставить свое сообщение в этом устройстве
АВТОР	Человек, который написал законченный текст А2
АВТОР	Человек, который создал художественный, научный или информационный объект А2
АВТОРИТЕТ	Свойство человека, группы людей или организации А1, состоящее в том, что люди А3 считают нужным учитывать мнение А1 об А2, потому что А1 хорошо знает область деятельности А2
АВТОРИТЕТ	Человек, имеющий авторитет в сфере А2
АВТОРИТЕТ	Человек, имеющий авторитет в уголовном мире
АВТОРИТЕТНЫЙ	Человек А1, имеющий авторитет среди людей А2 в области деятельности А3
АВТОРИТЕТНЫЙ	Принадлежащий авторитетному лицу
АВТОРИТЕТНЫЙ	Свойственный авторитетному человеку
АГЕНТ	Служащий посреднической организации А1, предлагающий людям А2 от имени А1 информацию или услуги в сфере А3
АГЕНТ	Специалист, нанятый человеком или организацией А1 для того, чтобы он представлял интересы А1 в сфере деятельности А2 или занимался деятельностью А2 в интересах А1
АГЕНТ	Служащий страны или организации А1, находящийся или работающий в стране или организации А3 и добывающий секретную информацию об А3 в сфере А2 для передачи ее в А1
АГЕНТ	официальное лицо или лицо, авторитетное в данном обществе или стране, постоянно делающее что-то для реализации целей другого лица или иностранного государства
АГЕНТСТВО	Государственная организация, обычно подчиненная более крупной организации А1, занимающаяся делами в сфере А2
АГЕНТСТВО	Посредническая организация, предлагающая людям информацию и услуги в сфере А2
АГИТИРОВАТЬ	Лицо А1 сообщает многим людям А2, какие общественные действия А3 полезно или необходимо предпринять в сложившейся ситуации, и призывает А2 поддержать или совершить их
АГИТИРОВАТЬ	Человек А1 настойчиво говорит человеку или людям А2, что А2 должен поддержать или сделать А3, потому что А3 хорошо для А2 или каких-то третьих лиц
АГОНИЯ	Последняя мучительная фаза жизни существа А1, наступающая непосредственно перед смертью
АГОНИЯ	Последняя фаза существования объекта А1, находящегося в очень плохом и постоянно ухудшающемся состоянии
АГРАРНЫЙ	Связанный с использованием земли для производства продуктов питания или сырья для промышленности
АГРАРНЫЙ	Характеризующийся преобладанием аграрного производства в экономике
АГРАРНЫЙ	Представляющий или защищающий интересы людей, занимающихся аграрным производством
АГРЕССИВНЫЙ	такой, который нападает на других людей
АГРЕССИВНЫЙ	такой, в котором проявляется желание напасть на кого-л.
АГРЕССИВНЫЙ	такой, который сочетается с желанием нападать на кого-л.
АГРЕССИВНЫЙ	такой, который нападает на другие страны
АГРЕССИВНЫЙ	захватнический
АГРЕССИВНЫЙ	напористый
АГРЕССИВНЫЙ	такой, в котором проявляется напор
АГРЕССИВНЫЙ	резкий
АГРЕССИВНЫЙ	едкий
АГРЕССИВНЫЙ	Такой, для которого характерна агрессия 2
АГРЕССИВНЫЙ	Такой, в котором проявляется агрессия 2
АГРЕССИВНЫЙ	состоящий в желании напасть или начать конфликт
АГРЕССИВНЫЙ	Такой, который сочетается с агрессией 1
АГРЕССИВНЫЙ	Такой, который часто совершает или готов совершить агрессию 1
АГРЕССИВНЫЙ	Состоящий в том, что государство А1 совершает или собирается совершить агрессию 1
АГРЕССИВНЫЙ	Такой, который добивается своих целей, преодолевая сопротивление других людей и навязывая им свою волю
АГРЕССИВНЫЙ	Такой, в котором проявляется стремление какого-л. человека добиться своей цели, преодолев сопротивление других людей и навязав им свою волю
АГРЕССИВНЫЙ	Такой, который оказывает интенсивное и резкое воздействие на органы зрения и поэтому может быть неприятен человеку
АГРЕССИВНЫЙ	Такой, который оказывает интенсивное воздействие на другие вещества или материалы и способен их разрушить
АГРЕССИЯ	Вооруженное нападение государства А1 на государство А2 с целью захватить территорию или часть территории государства А2 или подчинить его себе, которое говорящий оценивает отрицательно
АГРЕССИЯ	Проявляющееся в поведении человека А1 стремление нанести ущерб человеку А2, который ему не нравится, а также реализация такого намерения в грубых высказываниях или грубых физических действиях по отношению к А2
АГРОНОМ	Человек, профессией которого является выращивание растений, используемых для производства кормов, продуктов питания или сырья для промышленности
АД	Место наказания душ нераскаявшихся грешников после их смерти
АД	Предельно тяжелая или мучительная жизнь, вызванная свойствами ситуации или явления А1
АД	Сильный шум, который трудно или невозможно терпеть, вызываемый явлением А1, особенно в соединении с сильным жаром, – как бы ад по коннотациям оглушительного шума и огня
АДВОКАТ	Человек с высшим юридическим образованием, постоянно оказывающий человеку или организации А2 юридическую помощь или защищающий их интересы в суде
АДВОКАТ	Человек с высшим юридическим образованием, оказывающий людям и организациям юридическую помощь в области А2
АДВОКАТ	Человек, защищающий или готовый защищать человека А2, к которому другие люди, по его мнению, относятся несправедливо
АДВОКАТ	адвокат заведомого преступника
АДВОКАТ	человек, защищающий плохого человека или плохое дело
АДЕКВАТНЫЙ	Объект, положение вещей или действие А1, соответствующее по признаку А3 объекту, действию или положению вещей А2
АДЕКВАТНЫЙ	Такой, поведение которого соответствует социальной или психической норме
АДМИНИСТРАТИВНЫЙ	Связанный с управлением большой организацией или с ее устройством
АДМИНИСТРАТИВНЫЙ	Предназначенный для органов управления
АДМИНИСТРАТИВНЫЙ	Такой, какой нужен для работы администратора
АДМИНИСТРАТИВНЫЙ	Относящийся к таким нарушениям принятых в обществе норм и порядков, решения по которым принимаются исполнительной властью без участия судебной власти
АДМИНИСТРАТИВНЫЙ	неумеренная страсть постоянно менять что-то в организации работы других людей, приводящая к ее дезорганизации
АДМИНИСТРАЦИЯ	Официальные лица, управляющие учреждением или предприятием А2
АДМИНИСТРАЦИЯ	Совокупность государственных органов, управляющих частью А2 территории, входящей в состав данного государства
АДМИНИСТРАЦИЯ	Правительство страны А2
АДМИНИСТРАЦИЯ	Государственный орган, осуществляющий информационную поддержку деятельности президента страны и контролирующий исполнение его поручений и решений
АДМИРАЛ	Воинское звание члена высшего командного состава военно-морского флота или человек, имеющий такое звание
АДРЕС	Сообщаемая в определенной форме информация А2 о месте, где живет человек А1 или находится организация А1
АДРЕС	Уникальный набор А2 знаков, присваиваемый устройству или объекту А1 в электронной сети для операций с ним
АДРЕС	Официальное письменное поздравление от лица А1, обращенное к человеку А2, написанное в связи с памятным событием А3 в жизни этого человека и содержащее перечисление того хорошего, что он сделал
АДРЕС	по поводу кого-л.
АДРЕС	обращенный не к тому человеку, к которому, по мнению говорящего, должен быть обращен
АДРЕС	адрес отправителя
АДРЕС	прийти или приехать не в то место, которое было нужно субъекту
АДРЕС	обратиться не к тому человеку, который был нужен субъекту
АДРЕС	плохо отозваться о ком-л. или посмеяться над кем-л.
АДРЕС	обругать кого-л. или что-л. нецензурными словами
АДСКИЙ	Живущий или находящийся в аду
АДСКИЙ	Похожий на такой, какой бывает в аду
АДСКИЙ	Такой, в котором воплощается тайное желание субъекта А1 причинить зло другому человеку или людям
АДСКИЙ	Очень большой степени
АЗАРТ	Очень большая степень возбуждения человека А1, вызванная крайней увлеченностью тем А2, которое он в данный момент делает и которое доставляет ему удовольствие
АЗБУКА	Совокупность букв А1, используемых в письменности языка А2, расположенных в определенном порядке
АЗБУКА	Простейшие сведения А1, относящиеся к сфере деятельности А2, владение которыми необходимо для того, чтобы успешно ею заниматься
АЗБУКА	Таблица букв или совокупность карточек, кубиков или иных предметов с изображенными на них буквами, которые служат для обучения грамоте
АЗБУКА	телеграфный код, в котором каждая буква или цифра представлена особой комбинацией коротких и длинных звуковых сигналов (точек и тире)
АЗБУКА	совокупность условных знаков, составляемых из различных положений пальцев, с помощью которой общаются глухонемые
АЗБУКА	предназначенная для чтения текстов слепыми система изображения букв и цифр с помощью особых выпуклых значков, воспринимаемых на ощупь
АЗБУКА	совокупность нотных знаков, служащих для изображения музыкальных звуков
АЗБУКА	продовольственный магазин, торгующий продуктами более высокого качества, чем обычные магазины
АЗБУКА	сеть таких магазинов
АЗИАТСКИЙ	Свойственный жителям или странам Азии
АЗИАТСКИЙ	Отличающийся грубостью, жестокостью или коварством
АИСТ	Дикая птица в два-три раза больше курицы, с длинными ногами, длинной шеей и длинным клювом, с серым или белым оперением и черными концами крыльев, всеядная, обитающая в местах с умеренным климатом, живущая близко от человеческого жилья в сельской местности и считающаяся залогом благополучия дома, около которого она живет
АКАДЕМИК	Высшее звание члена Академии наук А2 или человек, имеющий это звание
АКАДЕМИК	Звание человека, являющегося членом академии А2, или человек, имеющий это звание
АКАДЕМИК	Человек, обладающий большими знаниями в какой-л. области или ведущий себя так, как будто он ими обладает
АКАДЕМИЯ	Высшая государственная организация страны А1, предназначенная для того, чтобы способствовать развитию научной или художественной деятельности в сфере А2 и состоящая из избираемых выдающихся представителей сферы А2
АКАДЕМИЯ	Учреждение, предназначенное для получения высшего образования или для повышения квалификации А2 людьми А1
АККОМПАНИРОВАТЬ	Человек А1 играет на музыкальном инструменте А3 одновременно с человеком А2, который является основным исполнителем какого-то музыкального произведения, создавая тем самым нужный фон для его исполнения
АККОРД	Несколько звуков разной высоты, одновременно извлеченных человеком А1 на музыкальном инструменте А2, которые воспринимаются как единое целое
АККОРД	событие, которое рассматривается как естественное или логическое завершение важной ситуации
АККОРД	набор струн для смычкового или щипкового музыкального инструмента
АККОРДЕОН	Музыкальный инструмент типа гармони, несколько больше ее по размеру, у которого клавиатура для правой руки подобна фортепьянной и который обладает более богатым и сложным звучанием по сравнению с гармонью
АККУРАТНЫЙ	такой, который содержит свои вещи и жилище в порядке и чистоте
АККУРАТНЫЙ	такой, внешний вид которого отличается порядком и чистотой
АККУРАТНЫЙ	небольшой
АККУРАТНЫЙ	такой, который делает все тщательно и точно
АККУРАТНЫЙ	педантичный и пунктуальный
АККУРАТНЫЙ	осторожный
АККУРАТНЫЙ	Такой, который постоянно заботится о том, чтобы его вещи, жилище и внешний вид находились в порядке и были чистыми
АККУРАТНЫЙ	Такой, внешний вид которого находится в порядке и отличается чистотой, так что на него приятно смотреть [о людях]
АККУРАТНЫЙ	Такой, который имеет небольшой размер, отличается соразмерностью частей или имеет четкие контуры, вследствие чего на него приятно смотреть
АККУРАТНЫЙ	Такой, который, совершая физическое действие, направленное на создание какого-л. объекта, выполняет это действие тщательно и точно, так что на продукт его деятельности приятно смотреть
АККУРАТНЫЙ	Такой, который делает все точно и тщательно или точно в назначенный срок
АККУРАТНЫЙ	Такой, который соблюдает осторожность в своих действиях с объектом А2 или в своем поведении в ситуации А2
АКТ	однократное выполнение действия
АКТ	однократное проявление состояния
АКТ	постановление органа власти
АКТ	официальный отчет о событии
АКТ	часть драматического произведения
АКТ	фотография обнаженного женского тела
АКТ	Однократное совершение действия А2 человеком А1
АКТ	Однократное действие, в котором проявляется какое-то свойство или состояние А2 человека А1
АКТ	Законодательный документ, изданный официальным органом А1 и устанавливающий правила деятельности в области А2
АКТ	Официальный документ, составленный лицом А1, содержащий информацию А2 или информацию о событии А2
АКТ	Одна из самых крупных частей А1 драматического произведения или оперы А2
АКТ	Фотография обнаженного тела, обычно женского
АКТЁР	Человек, профессией которого является исполнение ролей в спектаклях или в фильмах
АКТЁР	Тот, кто своей манерой поведения пытается создать ложное представление о себе или о ситуации, в которой оказались он и другой ее участник или наблюдатель
АКТИВНЫЙ	энергично делающий что-л
АКТИВНЫЙ	проявляющийся в действии
АКТИВНЫЙ	состоящий из интенсивных действий
АКТИВНЫЙ	интенсивно протекающий
АКТИВНЫЙ	способный к интенсивным взаимодействиям
АКТИВНЫЙ	с превышением доходной части бюджета
АКТИВНЫЙ	постоянно используемый в общении
АКТИВНЫЙ	выполняемый или используемый
АКТИВНЫЙ	Такой, который все время и с большой энергией что-то делает, особенно для успеха деятельности А2 или деятельности в области А2
АКТИВНЫЙ	Такой, который проявляется в действии
АКТИВНЫЙ	Такой, который включает в себя много действий или более интенсивные действия, чем обычно
АКТИВНЫЙ	Такой, в котором протекает интенсивный процесс или который протекает интенсивно
АКТИВНЫЙ	Такой, который способен к интенсивному взаимодействию с чем-л.
АКТИВНЫЙ	Такой, в котором доходная часть превышает расходную, и поэтому оцениваемый положительно
АКТИВНЫЙ	Такой, который постоянно используется человеком при общении с другими людьми
АКТИВНЫЙ	Выполняемый или используемый в данный момент
АКУЛА	Хищная морская рыба, некоторые виды которой превосходят по размеру всех других рыб, с удлиненным телом, мощным хвостом и плавниками и большим ртом на нижней стороне головы, обычно с несколькими рядами зубов на верхней и нижней челюсти
АКУЛА	Человек, готовый нарушить любые нравственные нормы ради наживы, – как бы акула по коннотациям жадности, хищности и безжалостности
АКУШЕРКА	Женщина, профессия которой состоит в том, чтобы помогать женщинам при беременности, родах и в период непосредственно после родов
АКЦЕНТ	Особая манера человека А1 произносить слова языка А3, типичная для носителей языка или диалекта А2
АКЦЕНТ	Выделение того элемента А2 в действии или деятельности А3, который человек А1 считает главным в А3 или к которому хочет привлечь внимание другого человека
АКЦЕНТ	Такое произнесение слога А1 в слове А2, обычно в соответствии с правилами данного языка, что он воспринимается на слух как самый сильный в А2, или знак ^ над гласной буквой этого слога
АКЦЕНТ	Выделение музыкального звука или аккорда с помощью усиления его звучания
АКЦИОНЕРНЫЙ	Принадлежащий владельцам акций
АКЦИОНЕРНЫЙ	Такой А1, капитал которого принадлежит владельцам выпущенных им акций, причем каждый владелец участвует в прибылях и убытках А1 в соответствии с общей стоимостью приобретенных им акций
АКЦИЯ1	Выпущенная компанией А3 ценная бумага с номинальной стоимостью А2, удостоверяющая вложение ее владельцем А1 определенной суммы денег в А3 и дающая А1 право на участие в делах этой компании и на получение части прибыли от ее деятельности
